Vector w
20891.892602
3521.891665
Matrix Z
16616.700000,2495.000000
2495.000000,500.000000
Matrix Z^-1
0.000240,-0.001198
-0.001198,0.007976
Matrix ZZ^-1
1.000000,0.000000
0.000000,1.000000
Matrix Z^-1Z
1.000000,0.000000
0.000000,1.000000
Vector a (Estimated Parameters)
0.796240
3.070546

x,y,ax+b
0.000000,2.916859,3.070546
0.020000,2.273967,3.086471
0.040000,3.456396,3.102396
0.060000,2.920814,3.118320
0.080000,4.467233,3.134245
0.100000,3.286469,3.150170
0.120000,4.921503,3.166095
0.140000,3.560751,3.182020
0.160000,2.955717,3.197944
0.180000,3.700828,3.213869
0.200000,3.451522,3.229794
0.220000,4.510985,3.245719
0.240000,3.623862,3.261644
0.260000,2.320140,3.277568
0.280000,4.821336,3.293493
0.300000,3.843282,3.309418
0.320000,3.429363,3.325343
0.340000,4.084193,3.341268
0.360000,3.167044,3.357192
0.380000,2.452693,3.373117
0.400000,2.867410,3.389042
0.420000,2.668957,3.404967
0.440000,4.037229,3.420892
0.460000,4.632598,3.436816
0.480000,3.360959,3.452741
0.500000,3.656709,3.468666
0.520000,3.095458,3.484591
0.540000,2.460866,3.500516
0.560000,3.691611,3.516440
0.580000,2.938385,3.532365
0.600000,4.032914,3.548290
0.620000,3.098591,3.564215
0.640000,3.700998,3.580140
0.660000,3.754247,3.596064
0.680000,4.026532,3.611989
0.700000,2.579817,3.627914
0.720000,3.827249,3.643839
0.740000,3.570444,3.659764
0.760000,2.451086,3.675688
0.780000,3.692246,3.691613
0.800000,3.107056,3.707538
0.820000,3.849720,3.723463
0.840000,3.689749,3.739388
0.860000,2.458574,3.755312
0.880000,5.142470,3.771237
0.900000,4.452858,3.787162
0.920000,4.319489,3.803087
0.940000,2.944949,3.819012
0.960000,2.138458,3.834936
0.980000,4.715717,3.850861
1.000000,3.449613,3.866786
1.020000,3.068123,3.882711
1.040000,2.982890,3.898636
1.060000,3.685778,3.914560
1.080000,3.487447,3.930485
1.100000,3.942213,3.946410
1.120000,4.382089,3.962335
1.140000,4.246207,3.978260
1.160000,4.749895,3.994184
1.180000,3.812643,4.010109
1.200000,3.953588,4.026034
1.220000,2.672241,4.041959
1.240000,3.719342,4.057884
1.260000,5.571260,4.073808
1.280000,2.937544,4.089733
1.300000,4.305341,4.105658
1.320000,4.661596,4.121583
1.340000,4.885058,4.137508
1.360000,3.871943,4.153432
1.380000,3.895249,4.169357
1.400000,4.780828,4.185282
1.420000,4.331783,4.201207
1.440000,3.669861,4.217132
1.460000,2.593321,4.233056
1.480000,4.859473,4.248981
1.500000,5.716734,4.264906
1.520000,3.012881,4.280831
1.540000,5.224182,4.296755
1.560000,4.534563,4.312680
1.580000,6.159733,4.328605
1.600000,3.343760,4.344530
1.620000,4.500595,4.360455
1.640000,3.804609,4.376379
1.660000,5.539125,4.392304
1.680000,3.075263,4.408229
1.700000,3.425731,4.424154
1.720000,3.989357,4.440079
1.740000,5.476911,4.456003
1.760000,3.677787,4.471928
1.780000,4.573907,4.487853
1.800000,4.530715,4.503778
1.820000,3.968834,4.519703
1.840000,4.283884,4.535627
1.860000,4.314084,4.551552
1.880000,4.629993,4.567477
1.900000,4.009286,4.583402
1.920000,4.675635,4.599327
1.940000,3.708340,4.615251
1.960000,5.718035,4.631176
1.980000,4.438712,4.647101
2.000000,4.514118,4.663026
2.020000,4.997517,4.678951
2.040000,4.450334,4.694875
2.060000,4.339917,4.710800
2.080000,4.560883,4.726725
2.100000,3.486880,4.742650
2.120000,4.691137,4.758575
2.140000,6.178463,4.774499
2.160000,4.811182,4.790424
2.180000,5.736013,4.806349
2.200000,5.198746,4.822274
2.220000,4.310213,4.838199
2.240000,5.608593,4.854123
2.260000,4.540705,4.870048
2.280000,4.942716,4.885973
2.300000,5.902150,4.901898
2.320000,4.527762,4.917823
2.340000,4.540734,4.933747
2.360000,5.980795,4.949672
2.380000,5.089020,4.965597
2.400000,5.610304,4.981522
2.420000,5.631841,4.997447
2.440000,6.531819,5.013371
2.460000,4.892852,5.029296
2.480000,4.362486,5.045221
2.500000,4.916373,5.061146
2.520000,4.138925,5.077071
2.540000,6.363017,5.092995
2.560000,5.025960,5.108920
2.580000,5.076705,5.124845
2.600000,3.345723,5.140770
2.620000,6.878017,5.156695
2.640000,4.355223,5.172619
2.660000,4.914102,5.188544
2.680000,6.033256,5.204469
2.700000,3.864200,5.220394
2.720000,3.615981,5.236319
2.740000,5.341141,5.252243
2.760000,5.117302,5.268168
2.780000,6.425772,5.284093
2.800000,5.201178,5.300018
2.820000,5.413471,5.315943
2.840000,7.003485,5.331867
2.860000,5.120538,5.347792
2.880000,5.115326,5.363717
2.900000,4.329652,5.379642
2.920000,4.678737,5.395567
2.940000,4.522423,5.411491
2.960000,3.868597,5.427416
2.980000,5.974328,5.443341
3.000000,4.910308,5.459266
3.020000,4.829251,5.475191
3.040000,6.045883,5.491115
3.060000,6.568607,5.507040
3.080000,5.623956,5.522965
3.100000,6.331437,5.538890
