Basic Information of Data
The Number of Raw Data ,10000
Maximum of Raw Data ,3.366565
Minimum of Raw Data ,-0.460554
Average : E(x) ,1.503640
Variance : V(x) ,0.251436
Standard Deviation : sqrt(V(x)) ,0.501434

Histogram Dist(x) and Probability Density Function f(x) 
The Number of Data for Histogram ,10000
Data Range to Construct Histogram ,-5.050000 < y <eq 5.050000
Graph Drawing Range ,-5.000000 <eq x <eq 5.000000
Step Size : dx ,0.100000
xi , ni/(N*dx), f(x) 
5.000000,0.000000,0.000000
4.900000,0.000000,0.000000
4.800000,0.000000,0.000000
4.700000,0.000000,0.000000
4.600000,0.000000,0.000000
4.500000,0.000000,0.000000
4.400000,0.000000,0.000000
4.300000,0.000000,0.000000
4.200000,0.000000,0.000000
4.100000,0.000000,0.000001
4.000000,0.000000,0.000003
3.900000,0.000000,0.000009
3.800000,0.000000,0.000022
3.700000,0.000000,0.000054
3.600000,0.000000,0.000127
3.500000,0.000000,0.000288
3.400000,0.002000,0.000624
3.300000,0.002000,0.001300
3.200000,0.002000,0.002603
3.100000,0.008000,0.005010
3.000000,0.006000,0.009267
2.900000,0.016000,0.016473
2.800000,0.031000,0.028140
2.700000,0.044000,0.046196
2.600000,0.073000,0.072880
2.500000,0.091000,0.110495
2.400000,0.153000,0.160992
2.300000,0.209000,0.225420
2.200000,0.340000,0.303325
2.100000,0.439000,0.392240
2.000000,0.461000,0.487441
1.900000,0.611000,0.582130
1.800000,0.656000,0.668105
1.700000,0.701000,0.736881
1.600000,0.808000,0.781048
1.500000,0.780000,0.795582
1.400000,0.774000,0.778789
1.300000,0.731000,0.732626
1.200000,0.658000,0.662326
1.100000,0.563000,0.575426
1.000000,0.480000,0.480434
0.900000,0.410000,0.385484
0.800000,0.273000,0.297239
0.700000,0.233000,0.220258
0.600000,0.171000,0.156851
0.500000,0.097000,0.107342
0.400000,0.074000,0.070595
0.300000,0.039000,0.044618
0.200000,0.027000,0.027100
0.100000,0.014000,0.015819
0.000000,0.012000,0.008873
-0.100000,0.005000,0.004783
-0.200000,0.003000,0.002478
-0.300000,0.002000,0.001234
-0.400000,0.000000,0.000590
-0.500000,0.001000,0.000271
-0.600000,0.000000,0.000120
-0.700000,0.000000,0.000051
-0.800000,0.000000,0.000021
-0.900000,0.000000,0.000008
-1.000000,0.000000,0.000003
-1.100000,0.000000,0.000001
-1.200000,0.000000,0.000000
-1.300000,0.000000,0.000000
-1.400000,0.000000,0.000000
-1.500000,0.000000,0.000000
-1.600000,0.000000,0.000000
-1.700000,0.000000,0.000000
-1.800000,0.000000,0.000000
-1.900000,0.000000,0.000000
-2.000000,0.000000,0.000000
-2.100000,0.000000,0.000000
-2.200000,0.000000,0.000000
-2.300000,0.000000,0.000000
-2.400000,0.000000,0.000000
-2.500000,0.000000,0.000000
-2.600000,0.000000,0.000000
-2.700000,0.000000,0.000000
-2.800000,0.000000,0.000000
-2.900000,0.000000,0.000000
-3.000000,0.000000,0.000000
-3.100000,0.000000,0.000000
-3.200000,0.000000,0.000000
-3.300000,0.000000,0.000000
-3.400000,0.000000,0.000000
-3.500000,0.000000,0.000000
-3.600000,0.000000,0.000000
-3.700000,0.000000,0.000000
-3.800000,0.000000,0.000000
-3.900000,0.000000,0.000000
-4.000000,0.000000,0.000000
-4.100000,0.000000,0.000000
-4.200000,0.000000,0.000000
-4.300000,0.000000,0.000000
-4.400000,0.000000,0.000000
-4.500000,0.000000,0.000000
-4.600000,0.000000,0.000000
-4.700000,0.000000,0.000000
-4.800000,0.000000,0.000000
-4.900000,0.000000,0.000000
-5.000000,0.000000,0.000000
